Date	Close
07.04.08	120.96
08.04.08	119.76
09.04.08	117.61
10.04.08	118.34
11.04.08	116.03
14.04.08	114.71
15.04.08	114.73
16.04.08	116.78
17.04.08	116.47
18.04.08	120.50
21.04.08	117.33
22.04.08	115.92
23.04.08	116.94
24.04.08	116.29
25.04.08	117.61
28.04.08	118.76
29.04.08	117.34
30.04.08	118.89
02.05.08	121.23
05.05.08	121.41
06.05.08	119.13
07.05.08	119.73
08.05.08	118.38
09.05.08	117.18
12.05.08	117.18
13.05.08	117.41
14.05.08	117.47
15.05.08	116.98
16.05.08	117.14
19.05.08	117.58
20.05.08	117.22
21.05.08	112.93
22.05.08	113.99
23.05.08	112.60
26.05.08	112.66
27.05.08	111.99
28.05.08	113.82
29.05.08	114.31
30.05.08	115.61
02.06.08	113.48
03.06.08	113.22
04.06.08	112.09
05.06.08	111.75
06.06.08	108.45
09.06.08	108.81
10.06.08	107.92
11.06.08	105.43
12.06.08	107.05
13.06.08	111.47
16.06.08	110.70
17.06.08	112.11
18.06.08	111.16
19.06.08	111.54
20.06.08	110.54
23.06.08	110.37
24.06.08	110.75
25.06.08	112.80
26.06.08	108.76
27.06.08	106.69
30.06.08	106.31
01.07.08	103.30
02.07.08	103.16
03.07.08	105.30
04.07.08	104.23
07.07.08	105.50
08.07.08	105.70
09.07.08	106.91
10.07.08	106.36
11.07.08	102.73
14.07.08	103.10
15.07.08	97.44
16.07.08	95.97
17.07.08	100.68
18.07.08	105.62
21.07.08	106.30
22.07.08	106.14
23.07.08	110.44
24.07.08	108.68
25.07.08	103.68
28.07.08	101.66
29.07.08	102.11
30.07.08	103.12
31.07.08	103.86
01.08.08	103.13
04.08.08	103.29
05.08.08	108.35
06.08.08	107.34
07.08.08	106.43
08.08.08	106.85
11.08.08	108.89
12.08.08	108.04
13.08.08	104.01
14.08.08	104.72
15.08.08	104.55
18.08.08	104.03
19.08.08	99.61
20.08.08	101.11
21.08.08	98.99
22.08.08	102.09
25.08.08	102.61
26.08.08	104.78
27.08.08	103.79
28.08.08	107.83
29.08.08	108.40
01.09.08	108.44
02.09.08	110.34
03.09.08	109.29
04.09.08	105.51
05.09.08	101.88
08.09.08	106.53
09.09.08	108.07
10.09.08	105.70
11.09.08	105.34
12.09.08	105.12
15.09.08	98.70
